Date,Price,Open,High,Low,Volume,Chg%
2023-04-19,60172,60323,60384,59627,17270,-0.26
2023-04-20,60389,59932,60549,59932,10300,0.36
2023-04-21,59810,60311,60373,59565,17110,-0.96
2023-04-24,59928,59652,59978,59575,8500,0.2
2023-04-25,60123,59980,60195,59701,11510,0.33
2023-04-26,59849,60085,60300,59805,10020,-0.46
2023-04-27,59913,60100,60248,59605,9710,0.11
2023-04-28,60057,59888,60124,59741,7030,0.24
2023-05-01,59979,60170,60449,59900,1490,-0.13
2023-05-02,60787,60050,60861,59900,710,1.35
2023-05-03,61073,60925,61146,60700,190,0.47
2023-05-04,61683,61374,61898,61150,180,1.0
2023-05-05,60799,61899,61899,60200,110,-1.43
2023-05-08,60916,60750,61042,60750,9010,0.19
2023-05-09,61359,60916,61390,60906,11890,0.73
2023-05-10,61207,61265,61571,60957,16020,-0.25
2023-05-11,60886,61228,61450,60801,18620,-0.52
2023-05-12,60843,60849,61031,60532,14970,-0.07
2023-05-15,60987,60740,61081,60740,7710,0.24
2023-05-16,60280,60938,60980,60200,14190,-1.16
2023-05-17,60189,60389,60420,60010,9460,-0.15
2023-05-18,59758,60148,60170,59621,12490,-0.72
2023-05-19,60389,59748,60492,59748,12690,1.06
2023-05-22,60271,60485,60510,60140,7430,-0.2
2023-05-23,60220,60033,60271,59774,11250,-0.08
2023-05-24,59918,60288,60395,59797,10440,-0.5
2023-05-25,59493,59752,60000,59411,11030,-0.71
2023-05-26,59430,59570,59690,59301,9040,-0.11
2023-05-29,59358,59450,59599,59250,8790,-0.12
2023-05-30,59845,58900,59946,58900,3450,0.82
2023-05-31,60252,59868,60368,59834,320,0.68
2023-06-01,60033,60100,60718,59696,350,-0.36
2023-06-02,59656,60449,60449,59601,60,-0.63
2023-06-05,59805,59588,60200,59200,40,0.25
2023-06-06,59902,59773,59998,59701,8000,0.16
2023-06-07,59511,59900,60025,59410,14680,-0.65
2023-06-08,59809,59550,59950,59410,14350,0.5
2023-06-09,59777,59805,60040,59676,7820,-0.05
2023-06-12,59595,59680,59850,59484,9120,-0.3
2023-06-13,59222,59680,59800,59151,15370,-0.63
2023-06-14,59249,59294,59390,59105,11390,0.05
2023-06-15,59249,59100,59275,58600,16410,0.0
2023-06-16,59249,59250,59427,59156,9350,0.0
